SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
MP,,213810,TRILHO P/FIX DE CONTATOR TS-35,,Almox Prod Especiais
MP,,213849,CORREIA ABERTA V20M - 1000MM X 1500MM,,Almox Prod Especiais
MP,,214110,RODA MOD. FER.325/350X8 ESF 6205 CH 16 CÓD.198,,Almox Prod Especiais
MP,,216531,BORRACHA EVA 10MM X 1200 X 2000MM,,Almox Prod Especiais
MP,,216532,BORRACHA EVA 6MM X 1200 X 2000MM,,Almox Prod Especiais
MP,,218406,CAMARA AR REF. 16 L 395 (K-16),,Almox Prod Especiais
MP,,219199,RETENTOR REF 01549-BRA (ARCA/SABÓ),,Almox Prod Especiais
MP,,219447,CORDA NYLON TRANÇADA PET 06mm.,,Almox Prod Especiais
MP,,219527,BASE RELE 4 SAIDAS ETE8006,,Almox Prod Especiais
MP,,222106,KIT SUPORTE MAIS FILTRO DE RETORNO SPIN NOMINAL - PAPEL - 60 L/MIN - ROSCA 1 BSP,,Almox Prod Especiais
MP,,222111,VALV. DE RETENCAO TN10 - ROSCA 1/2 BSP,,Almox Prod Especiais
MP,,222113,"(USAR O 222133) BARRA ROSCADA FERRO GALV. 1/2"" X 1MT",,Almox Prod Especiais
MP,,222114,"BARRA ROSC FERRO GALV. 5/8"" X 1MT",,Almox Prod Especiais
MP,,222116,"BARRA ROSC FERRO GALV. 3/4"" X 1MT",,Almox Prod Especiais
MP,,222133,"BARRA ROSC FERRO GALV. 1/2"" X 1MT",,Almox Prod Especiais
MP,,222143,CHICOTE PLUG DEUTSCH,,Almox Prod Especiais
MP,,222144,"VALV. DIVISORA DE FLUXO 50/50 3/4"" UNF",,Almox Prod Especiais
MP,,222145,CAIXA DE TRANSMISSÃO INPEL CT14501-ZH,,Almox Prod Especiais
MP,,222146,LIMITADOR DE TORQUE INPEL LT9003-Z,,Almox Prod Especiais
MP,,222151,CONTRA PINO 1/4 X 3.1/2,,Almox Prod Especiais
MP,,222195,TOMADA P/ REBOQUE FEMEA 7 POLOS PRETA,,Almox Prod Especiais
MP,,222196,TOMADA P/ REBOQUE MACHO 7 POLOS PRETA,,Almox Prod Especiais
MP,,222198,AMORTECEDOR MOLA A GÁS SIMPLES AÇÃO 175KG,,Almox Prod Especiais
MP,,222206,TOMADA CONECTOR MACHO 16 PINOS C/ TRAVA,,Almox Prod Especiais
MP,,222209,TOMADA CONECTOR MACHO 24 PINOS C/ TRAVA,,Almox Prod Especiais
MP,,222217,"PINO TRAVA BUSSAL 3/8 X 2.1/4"" C/ARGOLA",,Almox Prod Especiais
MP,,222264,PINO DE PRESSAO 6 X32,,Almox Prod Especiais
MP,,222356,"GRAMPO R 4,5 X 80 ZB",,Almox Prod Especiais
MP,,222410,"ARO DE RODA 20"" C/ANEL CBH 8T",,Almox Prod Especiais
MP,,222411,CUBO P/ DIST. CALCÁRIO C/ PARAF. E PORCAS,,Almox Prod Especiais
MP,,222422,CILINDRO LAT. CBHL - INT 60mm x HST 25mm - CURSO 181mm,,Almox Prod Especiais
MP,,222438,AÇO MT 60.00 CROMADO SAE 1045 NORMAL - CBH 6t/CBHM CAFEEIRA,,Almox Prod Especiais
MP,,222448,TUBO TCB 080 X 070 X 05 ST52 BRUN,,Almox Prod Especiais
MP,,222452,CABEÇOTE GUIA C/ VED. CN.080XH.060,,Almox Prod Especiais
MP,,222453,EMBOLO C/ VED. CN 080-080x030x050,,Almox Prod Especiais
