SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
AL04 - SER,,134055NAC,TUBO QUADRADO 120 X 120 X 8.00 (KG),,Central
AL04 - SER,,134062NAC,TUBO RETANGULAR 100 X 50 X 3.75 X 6300 mm (KG),,Central
AL04 - SER,,134031NAC,"TUBO QUADRADO   100,00 X 100,00 X 6.3MM (KG)",,Central
AL04 - SER,,134063NAC,TUBO RETANGULAR 100 X 80 X 4.75 (KG),,Central
AL04 - SER,,134017NAC,TUBO RETANGULAR 150 X 100 X 6.35 X 6000 (KG),,Central
AL04 - SER,,134063,TUBO RETANGULAR 250 X 150 X 6.30 (KG),,Central
AL04 - SER,,134625,TUBO MECANICO  40 X  20  ST,,Central
AL04 - SER,,126202,AÇO CHATO LAM 1/2 X 3 SAE,,Central
AL04 - SER,,134066,TUBO RET  50 X 30 X 2.00MM TAM. 5 METROS (KG),,Central
AL04 - SER,,134212,TUBO MECANICO  56 X  40  ST,,Central
AL04 - SER,,112215,ACO TREF. RED. SAE,,Central
AL04 - SER,,110012,ACO LAMINADO RED 2.1/2    1045 (KG),,Central
AL04 - SER,,126329,AÇO CHATO LAM 5/8 X 1.1/2 SAE,,Central
AL04 - SER,,126214,AÇO CHATO LAM 1/2  X 3.1/2  1020 (KG),,Central
AL04 - SER,,134223,TUBO MECANICO  71 X  54  ST,,Central
AL04 - SER,,110565,ACO LAMINADO RED 3.1/2    1045 (KG),,Central
AL04 - SER,,126755,AÇO CHATO LAM 1 X 3 SAE,,Central
AL04 - SER,,113049,ACO TREF. RED. SAE,,Central
AL04 - SER,,126226,AÇO CHATO LAM 5/8 X 3 SAE,,Central
AL04 - SER,,112525,ACO TREF. RED. SAE,,Central
AL04 - SER,,110358,ACO LAMINADO RED 2        1045 (KG),,Central
AL04 - SER,,134057NAC,TUBO QUADRADO 200 X 200 X 4.75 (KG),,Central
AL04 - SER,,134430,TUBO SCHEDULLE 40,,Central
AL04 - SER,,134030,TUBO MEC STAND 101.60 X 6.30 (KG),,Central
AL04 - SER,,134172,TUBO SCHEDULLE 80,,Central
AL04 - SER,,134016,"TUBO QDR    70,00 X 4,75 (KG)",,Central
AL04 - SER,,130631,CANTONEIRA   1/4  X 3         1020 (KG),,Central
AL04 - SER,,126457,AÇO CHATO LAM 3/8 X 2 SAE,,Central
AL04 - SER,,134170,TUBO SCHEDULLE 80,,Central
AL04 - SER,,134716,TUBO MECANICO  56 X  28  ST,,Central
AL04 - SER,,112502,ACO TREF. RED. SAE,,Central
AL04 - SER,,112410,ACO TREF. RED. SAE,,Central
AL04 - SER,,126901,AÇO CHATO LAM 3/4 X 3 SAE,,Central
AL04 - SER,,134107,TUBO SCHEDULLE 80,,Central
AL04 - SER,,113050,ACO TREF. RED. SAE,,Central
AL04 - SER,,134224,TUBO MECANICO  71 X  43  ST,,Central
AL04 - SER,,134900,TUBO SCHEDULLE 40,,Central
AL04 - SER,,126615,AÇO CHATO LAM 3/4 X 2 SAE,,Central
AL04 - SER,,134892,TUBO SCHEDULLE 80,,Central
AL04 - SER,,134123,TUBO MECANICO 106 X 82  ST,,Central
AL04 - SER,,134124,TUBO MECANICO 112 X 90  ST,,Central
AL04 - SER,,134127,TUBO MECANICO 175 X 126  ST,,Central
AL04 - SER,,134128,TUBO MECANICO 87 X 61  ST,,Central
AL04 - SER,,112150,ACO TREF. RED. SAE,,Central
AL04 - SER,,134522,TUBO MECANICO  95 X  75  ST,,Central
AL04 - SER,,134789,TUBO MECANICO  131 X 105 ST,,Central
AL04 - SER,,134020NAC,"TUBO QUADRADO 100 X 100 X 4,75 (KG)",,Central
AL04 - SER,,110139,ACO LAMINADO RED 4          1045 (KG),,Central
AL04 - SER,,110346,ACO LAMINADO RED 2        1020 (KG),,Central
AL04 - SER,,112306,ACO TREF. RED. SAE,,Central
AL04 - SER,,110516,ACO LAMINADO RED 4.1/2    1045 (KG),,Central
AL04 - SER,,134627,TUBO MECANICO  45 X  28  ST,,Central
AL04 - SER,,134375,TUBO     1/2       DIN 2440 (KG),,Central
AL04 - SER,,110735,ACO LAMINADO RED 4.1/2    1020 (KG),,Central
AL04 - SER,,110980,ACO LAMINADO RED 1.3/4    1045 (KG),,Central
AL04 - SER,,134018NAC,TUBO RETANGULAR 200 X 100 X 4.75 (KG),,Central
AL04 - CHA,,120278IMP,"BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300 IMP (KG)",,Central
AL04 - CHA,,120547IMP,BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300 IMP (KG),,Central
AL04 - CHA,,120549IMP,BOBINA CHAPA LQ 2.65 X 1200 A36/CIVIL300 IMP (KG),,Central
AL04 - CHA,,120870,CHAPA 1/8 (3.15) INOX,,Central
AL04 - CHA,,120893,CHAPA 20  (0.91) INOX,,Central
AL04 - CHA,,120845,CHAPA 1/4 (6.35) INOX,,Central
AL04 - CHA,,112896,ACO RED INOX 304 DE 2 (KG),,Central
AL04 - CHA,,120790,CHAPA #3/4 (19.05) INOX,,Central
AL04 - CHA,,120844,CHAPA 3/16 (4.75) INOX,,Central
AL04 - CHA,,120832,CHAPA #12 (2.65) INOX,,Central
AL04 - CHA,,120819,CHAPA #18 (1.21) INOX,,Central
AL04 - CHA,,112872,ACO RED INOX 304  DE 7/8 (KG),,Central
AL04 - CHA,,120868,CHAPA #16 (1.50) INOX,,Central
AL02 - GALPÃO,,299713,CARDAN REF. 2001/2P B20B20,,Central
AL01 - SL1,CH,240641,REPARO CILINDRO TUTTO 6 TON V3562,,Central
AL01 - SL1,C11,398041,KIT ADESIVO CAFEEIRA CBHM5000 (Un),,Central
AL01 - SL1,C12,398027,KIT ADESIVO USO GERAL CBH5 (Un),,Central
AL01 - SL1,C14,398040,KIT ADESIVO GRANELEIRA CBHM5000 (Un),,Central
