SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
AL04,,124102,ACO LAMINADO QDR 1.1/2 1020 (KG),"77,33",Central
AL08,,201000,"DISCO GRADE CONCAVO LISO 18,00L 3,00MM 1F (Un)",6,Central
AL01,PJ08,226406,CORRENTE SIMPLES ASA,8,Central
AL01,PJ08,226187,EMENDA SIMPLES P/ CORR. ASA,3,Central
NÃO EXISTE,,240645,REPARO CILINDRO TUTTO 2 ESTAGIO BASC. LATERAL V3565,5,Central
NÃO EXISTE,,292723,SOLENOIDE TIPO CR35 SY17 24Vcc 16.3w. (Un),2,Central
AL01,CH,222207,TOMADA CONECTOR FEMEA 16 PINOS C/ TRAVA (Un),9,Central
AL01,CH,222206,TOMADA CONECTOR MACHO 16 PINOS C/ TRAVA (Un),9,Central
NÃO EXISTE,,240646,FUNDO Ø 126MM X 46MM CILINDRO TUTTO 6 TON V3562,3,Central
NÃO EXISTE,,200058,ASPERSOR NY,41,Central
AL01,,702029,LUVA MIC 2 EM 1 ,15,Central
AL01,ECH,226208,CORRENTE ELO 5/16 F. POLIDO (KG),"30,19",Central
AL01,AM06,274186,PORCA SEXT. INOX ,3040,Central
NÃO EXISTE,,230511,MOLA PROTEÇÃO PVC PRETO 66MM (M),16,Central
NÃO EXISTE,,222441,EMBOLO C/ VED. CN 063 X 027 X 050 CÓD 9379 (Un),8,Central
AL01,PJ06,236222,ROLAMENTO 25MM P/ MANCAL DE APOIO TIPO P205 (Un),16,Central
AL01,PJ07,260332,PARAF SEX 3/4 X 5 UNF ZB (Un),77,Central
IMOBILIZADO,,CADEIRA,CADEIRA EXECUTIVA INJETADA C/ BRAÇO T (Un),3,Central
IMOBILIZADO,,LIXADEIRA,LIXADEIRA PNEUMÁTICA (Un),2,Central
AL04,,134272,TUBO SCHEDULLE 40 ,"39,21",Central
AL04,,134449,TUBO QDR 100 X 3.00MM (KG),56,Central
AL04,,134049,"TUBO QDR 63,50 X 63,50 X 5,00 (KG)","47,87",Central
AL04,,134697,"TUBO QDR 60 X 4,00 (KG)",20,Central
AL04,,134181,TUBO 3/4 DIN 2440 (KG),"19,4",Central
AL04,,134455,TUBO QDR 30 X 1.50MM (KG),"13,4",Central
AL04,,134156,TUBO MECANICO 43 X 30 ST,"6,56",Central
AL04,,134510,TUBO SCHEDULLE 40 ,15,Central
AL04,,134200,TUBO SCHEDULLE 80 ,"8,84",Central
AL04,,134171,TUBO SCHEDULLE 80 ,"32,5",Central
AL04,,134447,"TUBO QDR 40 X 4,5MM (KG)",32,Central
AL04,,134048,TUBO QDR. INOX AISI 304 20.00MM X 2.00MM (M),6,Central
AL04,,134693,TUBO AÇO INOX 304 ,6,Central
