SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
MP,,274604,"PORCA SEX 3/8"" UNC ZB",,Almox Corte e Estamparia
MP,,282005,REBITE DE ALUMINIO 4X6,,Almox Corte e Estamparia
MP,,299534,"LONA DE FREIO MOLDADA 1/4X2""",,Almox Corte e Estamparia
MP,,300049,PIGMENTO AZUL 10407,,Almox Corte e Estamparia
PEÇA,,012907,REFORCO LAT TRAS CACAMBA CBHF,,Almox Corte e Estamparia
PEÇA,,013213,"FECHAM LAT TAMPA TRAS 1,10m CBHM",,Almox Corte e Estamparia
PEÇA,,014527,FECH LAT TAMPA TRAS M09 (10.000) CBHM,,Almox Corte e Estamparia
PEÇA,,016081,COMPL EIXO (CEN) F6SS,,Almox Corte e Estamparia
PEÇA,,016111,REFORCO COMPL EIXO (CEN) F6SS,,Almox Corte e Estamparia
PEÇA,,016937,"CHAPEAMENTO EIXO (CEN-1,75) F6SS",,Almox Corte e Estamparia
PEÇA,,018338,ENGATE S/TRAVA - GRADES CBHM,,Almox Corte e Estamparia
PEÇA,,018338,ENGATE S/TRAVA - GRADES CBHM,,Almox Corte e Estamparia
PEÇA,,021490,TRANSV SUP 5a RODA (M11) CARRETA MELAO,,Almox Corte e Estamparia
PEÇA,,022019,ESBARRO LIMITADOR DE GIRO CARR MELAO(M11),,Almox Corte e Estamparia
PEÇA,,022263,COMPLEM. TRANSV. INTERM. CENTRAL - CAÇAMBA GRAN/FORR (M12) CBH,,Almox Corte e Estamparia
PEÇA,,022469,ESBARRO LIMITADOR DE GIRO CHASSI CBHM 2 EIXOS,,Almox Corte e Estamparia
PEÇA,,023243,ESBARRO CHASSI CBHM 2 EIXOS,,Almox Corte e Estamparia
PEÇA,,024302,CORPO TUBO HIDRÁULICO - ACESS CBHF (M12),,Almox Corte e Estamparia
PEÇA,,025103,ESBARRO - ENGATE ESPECIAL COM MOLA,,Almox Corte e Estamparia
PEÇA,,025235,TRANSVERSINA CENTRAL - CHASSI FA6 RD,,Almox Corte e Estamparia
PEÇA,,025239,SUPORTE DIANTEIRO - CHASSI FA6 RD,,Almox Corte e Estamparia
PEÇA,,025401,SUPORTE DO CILINDRO - CHASSI DA CAÇAMBA CBH (M13) 8T,,Almox Corte e Estamparia
PEÇA,,025484,TRANSV INTERMEDIARIA (A PARTIR DE AGOSTO/2013) CHASSI CBHM,,Almox Corte e Estamparia
PEÇA,,025545,CORPO DO EIXO - F4/6 CM/SM,,Almox Corte e Estamparia
PEÇA,,025546,FECHAMENTO [EIXO - F4],,Almox Corte e Estamparia
PEÇA,,025551,REFORÇO DA LONGARINA - CHASSI CBHF M12,,Almox Corte e Estamparia
PEÇA,,025555,"TRANSVERSINA DIANTEIRA- PLATAFORMA - S4,0M",,Almox Corte e Estamparia
PEÇA,,025562,"REFORÇO INF - FECHAMENTO DIANT - S4,0/3,2M",,Almox Corte e Estamparia
PEÇA,,025564,"CORPO - FECHAM TRASEIRO (FR) - S4,0/3,2M",,Almox Corte e Estamparia
PEÇA,,025579,FECHAM EIXO F6 (NOV13...),,Almox Corte e Estamparia
PEÇA,,025580,CORPO DO EIXO RD - MFI/FB,,Almox Corte e Estamparia
PEÇA,,025592,"COLUNA -FECHAM DIANT (ALT60) - S4,0M",,Almox Corte e Estamparia
PEÇA,,025594,"CORPO - FECHAM LATERAL (ALT60) - S4,0M",,Almox Corte e Estamparia
PEÇA,,025594,"CORPO - FECHAM LATERAL (ALT60) - S4,0M",,Almox Corte e Estamparia
PEÇA,,025600,HASTE ESTABILIZADORA LD/LE - EIXO F4/6,,Almox Corte e Estamparia
