Códigos,Item,Local,Célula,Posição,Cod. Localização,Saldo,almoxarifado
112852, AÇO RED INOX  304  DE  1 (KG),AL04,SER,,AL04-SER-,144,Central 
110000, ACO LAMINADO RED 3.1/2    1020 (KG),AL04,SER,,AL04-SER-,382,Central 
288974, ROLAMENTO REF. 6207 1º LINHA (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,232,Central 
134038, TUBO QDR. INOX ANSI 304 40 X 40 X 2.00 (M),AL04,SER,,AL04-SER-,"5,1",Central 
504734, KIT RASPADOR HGW 25 CC (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,10,Central 
222118, VALVULA SOLENOIDE 12V P/ROÇADEIRA CÓD. SV10,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,6,Central 
222154, MOTOR HIDRAULICO ORBITAL OMT 250 (Un),AL01,EST,CH,AL01-EST-CH,2,Central 
200348, BOMBA LOBULAR 4 BL4000 (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,1,Central 
534497, BOTAO DE EMERGENCIA EMS70 (Un),MANUTENÇÃO,MANUTENÇÃO,,MANUTENÇÃO-MANUTENÇÃO-,5,Central 
130590, CANTONEIRA   1/8 x 2      1020 (KG),AL04,SER,,AL04-SER-,"577,48",Central 
130634, PERFIL ALUMINIO MACHO GE648 (M),AL04,SER,,AL04-SER-,340,Central 
505006, PINHAO LONGITUDINAL SWB P/N 16632 CÓD. 50007084 (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,2,Central 
134491, TUBO SCHEDULLE 40 ,AL04,SER,,AL04-SER-,"210,37",Central 
504986, PINHAO LONG/TRANSV 2.5 DUO SWB DES 16912 CÓD. 50017231 (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,2,Central 
134692, TUBO AÇO INOX 304 ,AL04,SER,,AL04-SER-,54,Central 
112851, AÇO RED INOX  304  DE  3/4 (KG),AL04,SER,,AL04-SER-,108,Central 
134690, TUBO AÇO INOX 316 ,AL04,SER,,AL04-SER-,"16,5",Central 
134339, TUBO MECANICO  63 X  33  ST,AL04,SER,,AL04-SER-,"87,83",Central 
240270, JOELHO 90º MACHO JIC 3/4 X 3/4 FEMEA JIC (Un),AL01,EST,CH,AL01-EST-CH,116,Central 
222103, MOTOR HIDRA. REF. TE0130 AS SAE A 2 BOLT 1/2,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,2,Central 
134018, TUBO RETANGULAR 180 X 80 X 6.35 X 6000 (KG),AL04,SER,,AL04-SER-,301,Central 
136815, POLIA MOTORA (DIAM MAIOR) R2/3 (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,10,Central 
222068, BOMBA HID. ,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,2,Central 
525653, BUCHA BRONZE MB23 ,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,1,Central 
134687, TUBO AÇO INOX 304 ,AL04,SER,,AL04-SER-,78,Central 
134024," TUBO RET  50 X 30 X 1,50 (KG)",AL04,SER,,AL04-SER-,"46,9",Central 
134196, TUBO MECANICO  87 X 66 ST,AL04,SER,,AL04-SER-,105,Central 
505005, BLOCO GUIA LINEAR SAP PLUS SP,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,2,Central 
222436, AÇO MT 2 CROMADO SAE 1045 NORMAL (050.80 MM) 530MM (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,10,Central 
222097, VALVULA ELÉTRICA PROPORCIONAL SP12,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,4,Central 
226087, CORRENTE ROLO RC,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,13,Central 
124114, ACO LAMINADO QDR 1.1/2    1045 (KG),AL04,SER,,AL04-SER-,160,Central 
130552, CANTONEIRA   3/16 X 2     1020 (KG),AL04,SER,,AL04-SER-,"234,82",Central 
134134, TUBO MECANICO  36 X  16  ST,AL04,SER,,AL04-SER-,70,Central 
134691, TUBO AÇO INOX 304 ,AL04,SER,,AL04-SER-,36,Central 
124096, ACO LAMINADO QDR 4        1020 (KG),AL04,SER,,AL04-SER-,"202,5",Central 
200141, COMANDO MANUAL 3P80R 1,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,1,Central 
200142, COMANDO MAN. 2P80R1,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,1,Central 
134023," TUBO RET  100 X 50 X 3,00 (KG)",AL04,SER,,AL04-SER-,"243,86",Central 
534375, CABO FLEX 1 KV PT 4 X 6MM (M),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,100,Central 
504544, AGULHA ELETRODO VÁLVULA DE MATERIAL (PEEK) REF..2312184 (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,1,Central 
504686, REMOVEDOR PASTOSO (KG),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,36,Central 
504733, TANQUE DE OLEO HGW 25 CC (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,10,Central 
509212, FLUXÔMETRO ARGÔNIO CO2 CÓD. 40020777 (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,8,Central 
533852, CAPA DE RASPA P/ TOCHA 35MM 20MTS CÓD.BO736 (M),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,70,Central 
505004, GUIA LINEAR SAP PLUS SP,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,2,Central 
501948, ROLAMENTO BSB 3062 SU,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,1,Central 
504990, RASPADOR P/ GUIA LINEAR 25MM HIWIN P/NH CÓD. 20018908 (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,10,Central 
504748, CABO DE FIBRA ÓTICA CÓD. 40185162 (M),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,15,Central 
540014, LAMP SEC OUROLUX INFRA,NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,13,Central 
534558, JANELA DE PROTEÇÃO SUPERIOR JFY (Un),AL01,GAV,GT12,AL01-GAV-GT12,4,Central 
534050MEG, ELETRODO SILVERPLUS 130A REF.: 220181 MEGAPLASMA (Un),AL01,GAV,G03,AL01-GAV-G03,26,Central 
533890MEG,,AL01,GAV,G03,AL01-GAV-G03,0,Central 
533883MEG, BOCAL DE PROTEÇÃO 80A REF.: 220189 MEGAPLASMA (Un),AL01,GAV,G03,AL01-GAV-G03,10,Central 
